1,Classes#1,电子商务,温州职业技术学院
2,Classes#2,移动应用,武汉职业技术学院
3,Classes#3,电子商务,襄阳职业技术学院
4,Classes#4,网络安全,唐山职业技术学院
5,Classes#5,云计算,襄阳职业技术学院
6,Classes#6,移动应用,武汉职业技术学院
7,Classes#7,电子商务,唐山职业技术学院
8,Classes#8,网络安全,武汉职业技术学院
9,Classes#9,网络安全,云南职业技术学院
10,Classes#10,网络安全,贵州职业技术学院
11,Classes#11,人工智能,武汉职业技术学院
12,Classes#12,电子商务,六安职业技术学院
13,Classes#13,云计算,六安职业技术学院
14,Classes#14,大数据,武汉职业技术学院
15,Classes#15,人工智能,唐山职业技术学院
16,Classes#16,网络安全,襄阳职业技术学院
17,Classes#17,云计算,武汉职业技术学院
18,Classes#18,网络安全,武汉职业技术学院
19,Classes#19,网络安全,唐山职业技术学院
20,Classes#20,人工智能,云南职业技术学院
21,Classes#21,人工智能,广西职业技术学院
22,Classes#22,电子商务,贵州职业技术学院
23,Classes#23,移动应用,六安职业技术学院
24,Classes#24,大数据,六安职业技术学院
25,Classes#25,电子商务,广西职业技术学院
26,Classes#26,人工智能,襄阳职业技术学院
27,Classes#27,大数据,广州职业技术学院
28,Classes#28,移动应用,温州职业技术学院
29,Classes#29,云计算,广州职业技术学院
30,Classes#30,云计算,武汉职业技术学院
